timestamp,FPOGX,FPOGY,FPOGD
1675858552899,674,1221,194
1675858553167,672,425,221
1675858553362,348,484,167
1675858553803,201,218,415
1675858554038,228,78,207
1675858554199,264,33,152
1675858554460,315,33,254
1675858554661,284,60,194
1675858554916,254,35,248
1675858555049,233,81,126
1675858555559,238,143,502
1675858555653,407,189,87
1675858555934,842,418,254
1675858556121,837,352,180
1675858556343,847,189,215
1675858556450,838,255,100
1675858556711,844,328,254
1675858556945,856,297,227
1675858557159,861,296,207
1675858557461,853,298,294
1675858558117,965,316,649
1675858558305,984,249,180
1675858558667,989,165,355
1675858558760,879,223,86
1675858558995,398,709,208
1675858559671,253,808,207
1675858559799,220,750,120
1675858560033,206,703,227
1675858560616,290,746,576
1675858560804,233,806,180
1675858561058,228,918,248
1675858561339,250,957,274
1675858561708,303,955,361
1675858562243,315,976,528
1675858562384,346,1001,133
1675858562625,911,1012,214
1675858562880,853,1086,247
1675858563168,852,1130,281
1675858563369,955,1054,194
1675858563663,223,1132,267
1675858563898,205,1099,226
1675858564193,243,1078,288
1675858564461,281,1103,261
1675858564789,257,1240,321
1675858565124,300,1227,328
1675858565419,334,1232,288
1675858565513,513,1264,86
1675858565747,815,1289,208
1675858566102,836,1339,348
1675858566336,329,591,187
1675858566490,306,328,146
1675858566798,232,135,281
1675858567026,206,137,220
1675858567368,217,78,334
1675858567636,266,34,261
1675858567837,306,59,194
1675858567977,360,48,133
1675858568232,963,230,227
1675858568373,980,254,134
1675858568794,981,278,415
1675858569196,986,301,395
1675858569384,983,359,180
1675858569826,993,355,435
1675858570074,990,336,240
1675858570242,969,360,160
1675858570503,965,327,254
1675858570892,854,305,381
1675858571179,887,709,260
1675858571306,951,675,120
1675858571651,974,576,337
1675858571755,936,584,100
1675858572043,873,608,281
1675858572331,856,622,281
1675858572720,871,654,381
1675858573001,870,691,274
1675858573155,915,622,147
1675858573276,957,446,113
1675858573537,976,422,254
1675858573758,995,363,214
1675858573939,999,335,173
1675858574187,980,341,240
1675858574395,588,100,180
1675858574502,660,94,100
1675858574602,761,174,93
1675858575312,870,645,683
1675858575547,787,95,207
1675858575835,810,68,281
1675858576143,349,228,281
1675858576324,292,154,174
1675858576692,296,165,361
1675858576926,289,566,99
1675858577080,334,812,127
1675858577302,296,788,214
1675858578085,251,864,776
1675858578507,255,873,415
1675858578836,272,825,321
1675858579011,266,786,168
1675858579211,680,135,154
1675858579398,767,56,180
1675858579519,693,47,114
1675858579767,554,58,240
1675858579934,495,42,160
1675858580042,553,104,100
1675858580256,601,66,207
1675858580832,670,10,180
1675858580939,636,8,100
1675858581227,421,326,260
1675858581588,814,749,334
1675858581843,404,839,227
1675858582272,244,782,421
1675858582519,238,850,240
1675858582761,28,171,100
1675858582995,28,152,227
1675858583163,688,32,120
1675858583370,770,49,201
1675858583960,11,196,234
1675858584060,6,229,90
1675858584288,15,293,220
1675858584543,26,280,248
1675858584810,15,238,260
1675858584897,371,149,79
1675858585246,769,97,319
1675858585554,361,497,261
1675858585862,268,788,281
1675858586505,224,791,635
1675858586860,290,784,348
1675858587175,229,837,308
1675858587369,250,857,187
1675858587436,289,968,59
1675858587872,267,837,288
1675858588227,407,855,348
1675858588441,286,847,207
1675858588743,651,107,254
1675858589212,779,70,462
1675858589586,774,59,368
1675858589707,712,68,114
1675858590015,294,219,281
1675858590203,260,139,180
1675858590497,239,84,288
1675858590658,214,62,153
1675858590933,821,56,247
1675858591355,850,31,415
1675858591864,839,45,501
1675858592219,391,676,187
1675858592413,765,125,147
1675858592634,764,108,214
1675858592862,528,259,200
1675858593351,334,1173,462
1675858593606,297,883,228
1675858594028,281,959,415
1675858594852,299,1196,274
1675858595046,337,1104,187
1675858595294,369,1107,241
1675858595455,353,1118,154
1675858595655,327,1121,194
1675858596292,233,1142,629
1675858596686,223,1159,387
1675858597035,293,1172,341
1675858597269,286,1160,227
1675858597605,389,1165,328
1675858597994,762,431,342
1675858598120,762,397,120
1675858598402,758,390,274
1675858598509,770,373,100
1675858598670,741,408,154
1675858599032,603,401,355
1675858599212,754,379,154
1675858599460,774,401,240
1675858599704,773,425,237
