timestamp,BPOGX,BPOGY,LPD,LPV,RPD,RPV
1677142475386,686,237,17.65311,1,22.84398,1
1677142475392,682,224,17.64757,1,22.9734,1
1677142475399,683,231,17.94469,1,22.99978,1
1677142475406,684,241,17.95733,1,22.9196,1
1677142475413,691,228,17.85059,1,22.88059,1
1677142475419,689,241,17.52124,1,22.95108,1
1677142475426,689,235,17.72272,1,23.09289,1
1677142475433,684,254,17.50995,1,23.09363,1
1677142475440,682,256,17.47783,1,22.89079,1
1677142475446,682,246,17.52336,1,22.88226,1
1677142475453,681,225,17.5298,1,22.84257,1
1677142475460,686,232,17.44424,1,22.89745,1
1677142475467,686,232,17.68808,1,22.92541,1
1677142475473,684,198,17.84604,1,22.8577,1
1677142475480,681,205,17.84604,1,22.82264,1
1677142475487,681,205,17.73693,1,22.8054,1
1677142475496,675,194,17.58697,1,22.85106,1
1677142475500,696,184,17.65455,1,22.85106,1
1677142475507,696,189,17.58533,1,22.88139,1
1677142475513,696,248,17.66573,1,23.07856,1
1677142475520,701,259,17.81944,1,23.00461,1
1677142475527,701,268,17.58533,1,23.00461,1
1677142475534,670,271,17.32456,1,22.98047,1
1677142475540,677,263,17.63977,1,22.98901,1
1677142475547,677,258,17.63977,1,22.99575,1
1677142475554,680,213,17.66573,1,22.96033,1
1677142475560,682,221,18.09706,1,22.89467,1
1677142475567,682,211,17.58533,1,22.85271,1
1677142475574,692,200,18.00432,1,22.85642,1
1677142475580,686,186,17.71414,1,22.88589,1
1677142475587,686,179,17.89148,1,22.88929,1
1677142475594,697,224,17.7757,1,23.27577,1
1677142475600,663,239,17.73542,1,23.28826,1
1677142475607,662,234,17.72048,1,23.18667,1
1677142475614,669,351,18.77503,1,23.80195,1
1677142475621,616,378,17.92577,1,23.73663,1
1677142475627,618,388,17.91966,1,23.77704,1
1677142475634,673,359,17.89615,1,23.97766,1
1677142475641,672,375,17.81894,1,23.52973,1
1677142475647,672,375,17.76453,1,23.5297,1
1677142475654,673,422,18.11569,1,23.66426,1
1677142475661,671,378,17.89247,1,23.59175,1
1677142475668,671,382,17.66096,1,23.58865,1
1677142475674,667,374,18.30065,1,23.41998,1
1677142475681,571,377,18.61785,1,23.68663,1
1677142475687,574,386,18.60209,1,23.66443,1
1677142475694,365,334,17.87697,1,23.37604,1
1677142475701,283,297,18.09258,1,23.37309,1
1677142475708,283,297,17.94087,1,23.66167,1
1677142475714,313,331,17.6864,1,23.81825,1
1677142475721,309,331,17.9248,1,23.85551,1
1677142475728,313,340,17.35595,1,23.76382,1
1677142475734,269,328,17.54354,1,23.80558,1
1677142475741,312,295,17.58722,1,23.76848,1
1677142475748,314,302,17.1935,1,23.69234,1
1677142475755,296,332,17.87623,1,23.59241,1
1677142475761,331,370,17.92137,1,23.59336,1
1677142475768,327,362,17.58692,1,23.5722,1
1677142475775,320,340,17.56066,1,23.35897,1
1677142475781,280,294,17.28891,1,23.01119,1
1677142475787,280,294,17.15916,1,23.73407,1
1677142475795,343,285,17.20758,1,22.76629,1
1677142475802,317,317,17.01085,1,22.81184,1
1677142475808,322,328,16.8959,1,23.50893,1
1677142475815,349,326,17.51794,1,23.42579,1
1677142475822,294,326,17.32708,1,22.74617,1
1677142475828,287,311,17.29915,1,23.26659,1
1677142475835,307,304,17.4308,1,22.77414,1
1677142475841,284,315,16.87362,1,22.57459,1
1677142475848,288,322,17.0067,1,23.18048,1
1677142475855,316,309,16.96313,1,22.71805,1
1677142475861,279,338,17.34809,1,22.98897,1
1677142475868,279,338,17.0602,1,23.26181,1
1677142475875,320,299,17.07946,1,22.518,1
1677142475882,284,335,16.90622,1,22.94201,1
1677142475888,284,335,16.89407,1,22.94173,1
1677142475895,322,319,17.61138,1,22.73926,1
1677142475902,315,323,17.29507,1,22.62313,1
1677142475909,317,329,16.91009,1,22.94146,1
1677142475915,288,297,16.88193,1,22.36036,1
1677142475922,311,367,16.69563,1,22.44757,1
1677142475929,314,371,17.01117,1,23.04944,1
1677142475936,303,349,16.9802,1,22.52682,1
1677142475943,320,387,16.99767,1,22.45178,1
1677142475950,319,387,16.33744,1,22.80766,1
1677142475956,341,369,17.31248,1,22.39397,1
1677142475962,330,399,16.91723,1,21.90443,1
1677142475969,326,388,16.41715,1,22.66814,1
1677142475975,278,343,17.21553,1,21.88273,1
1677142475982,293,281,16.61977,1,22.17805,1
1677142475989,287,268,16.75601,1,22.46241,1
1677142475996,276,287,16.64599,1,22.24324,1
1677142476003,274,318,16.57635,1,22.0566,1
1677142476009,289,349,16.56014,1,22.4729,1
1677142476016,289,215,17.50048,1,22.0888,1
1677142476022,261,168,17.6345,1,21.40731,1
1677142476029,257,157,17.7035,1,21.51661,1
1677142476036,274,189,17.68005,1,21.58278,1
1677142476043,284,162,17.92319,1,21.56001,1
1677142476050,281,158,17.8204,1,21.71287,1
1677142476056,264,181,17.72848,1,21.90346,1
1677142476063,288,237,17.65123,1,21.80066,1
1677142476069,293,248,17.95703,1,21.63425,1
1677142476076,247,208,17.9177,1,21.83155,1
1677142476083,288,223,17.67636,1,21.87554,1
1677142476090,288,223,17.67466,1,21.55518,1
1677142476096,273,257,17.89252,1,21.94103,1
1677142476103,282,204,17.68346,1,21.82113,1
1677142476109,285,209,17.8189,1,21.83195,1
1677142476116,295,214,17.83786,1,21.95511,1
1677142476123,267,237,17.56815,1,21.83258,1
1677142476130,267,237,17.73037,1,21.78294,1
1677142476136,251,260,18.21035,1,21.83603,1
1677142476143,265,214,17.88946,1,21.67402,1
1677142476150,257,196,17.5879,1,21.64987,1
1677142476156,241,172,18.2733,1,21.93457,1
1677142476163,271,198,18.10865,1,22.04332,1
1677142476170,271,200,18.09076,1,22.02684,1
1677142476177,259,193,18.05368,1,21.97713,1
1677142476183,266,172,18.11798,1,21.88502,1
1677142476190,265,174,18.18405,1,21.94153,1
1677142476197,293,182,18.11633,1,22.30742,1
1677142476203,266,197,17.73092,1,22.06959,1
1677142476210,271,210,17.90178,1,21.96905,1
1677142476216,298,234,17.98011,1,22.28063,1
1677142476224,286,205,18.19012,1,22.42978,1
1677142476230,288,210,18.08712,1,21.93949,1
1677142476237,260,225,18.30781,1,22.3779,1
1677142476244,312,191,18.3527,1,22.01023,1
1677142476250,310,183,18.04897,1,22.14685,1
1677142476257,250,183,17.76739,1,21.87692,1
1677142476263,261,156,17.95499,1,21.74703,1
